message_id,has_tool_calls,tool_names,timestamp,classification,confidence,label_int,hidden_state,state_name
0,False,[],2026-06-25T18:29:45.014Z,ACTION,1.0,0,2,Execution/Drift
1,False,[],2026-06-25T18:29:53.091Z,ASSERTED,0.9,1,2,Execution/Drift
2,False,[],2026-06-25T18:29:59.232Z,ACTION,1.0,0,2,Execution/Drift
3,False,[],2026-06-25T18:30:05.083Z,ACTION,1.0,0,2,Execution/Drift
4,False,[],2026-06-25T18:30:22.694Z,ASSERTED,0.9,1,2,Execution/Drift
5,False,[],2026-06-25T18:31:35.562Z,GROUNDED,0.95,3,2,Execution/Drift
6,False,[],2026-06-25T18:34:04.438Z,ACTION,1.0,0,2,Execution/Drift
7,False,[],2026-06-25T18:34:55.198Z,INFERRED,0.9,4,2,Execution/Drift
8,False,[],2026-06-25T18:36:14.442Z,ACTION,0.9,0,2,Execution/Drift
9,False,[],2026-06-25T18:36:47.430Z,ACTION,0.9,0,2,Execution/Drift
10,False,[],2026-06-25T18:38:52.460Z,ACTION,1.0,0,2,Execution/Drift
11,False,[],2026-06-25T18:39:49.209Z,ACTION,1.0,0,2,Execution/Drift
12,False,[],2026-06-25T18:40:41.934Z,ACTION,0.9,0,2,Execution/Drift
13,False,[],2026-06-25T18:44:38.370Z,INFERRED,0.8,4,2,Execution/Drift
14,False,[],2026-06-25T18:51:36.986Z,ACTION,0.9,0,0,Active Reasoning
15,False,[],2026-06-25T18:51:58.870Z,GROUNDED,0.95,3,1,Evidence-Grounded
16,False,[],2026-06-25T19:01:55.744Z,ACTION,0.9,0,0,Active Reasoning
17,False,[],2026-06-25T19:02:27.701Z,INFERRED,0.85,4,1,Evidence-Grounded
18,False,[],2026-06-25T19:03:37.069Z,GROUNDED,0.95,3,0,Active Reasoning
19,False,[],2026-06-25T19:11:05.635Z,CORRECTING,1.0,2,1,Evidence-Grounded
20,False,[],2026-06-25T19:14:24.788Z,GROUNDED,0.9,3,0,Active Reasoning
21,False,[],2026-06-25T19:18:19.611Z,INFERRED,0.9,4,1,Evidence-Grounded
22,False,[],2026-06-25T19:21:28.586Z,INFERRED,0.9,4,0,Active Reasoning
23,False,[],2026-06-25T19:22:00.161Z,ACTION,0.9,0,1,Evidence-Grounded
24,False,[],2026-06-25T19:33:25.651Z,ASSERTED,0.9,1,0,Active Reasoning
25,False,[],2026-06-25T19:35:39.898Z,CORRECTING,0.9,2,1,Evidence-Grounded
26,False,[],2026-06-25T19:38:12.859Z,GROUNDED,1.0,3,0,Active Reasoning
27,False,[],2026-06-25T19:38:39.002Z,INFERRED,0.9,4,1,Evidence-Grounded
28,False,[],2026-06-25T19:45:12.291Z,ACTION,1.0,0,0,Active Reasoning
29,False,[],2026-06-25T19:46:47.959Z,GROUNDED,1.0,3,1,Evidence-Grounded
30,False,[],2026-06-25T19:50:39.534Z,ACTION,0.9,0,0,Active Reasoning
31,False,[],2026-06-25T19:50:51.517Z,GROUNDED,0.95,3,1,Evidence-Grounded
32,False,[],2026-06-25T19:51:15.722Z,INFERRED,0.9,4,0,Active Reasoning
33,False,[],2026-06-25T19:52:01.941Z,GROUNDED,1.0,3,1,Evidence-Grounded
34,False,[],2026-06-25T19:52:32.055Z,ACTION,0.9,0,0,Active Reasoning
35,False,[],2026-06-25T19:52:38.622Z,GROUNDED,1.0,3,1,Evidence-Grounded
36,False,[],2026-06-25T19:57:30.680Z,ACTION,1.0,0,0,Active Reasoning
37,False,[],2026-06-25T19:57:48.385Z,INFERRED,0.9,4,1,Evidence-Grounded
38,False,[],2026-06-25T20:00:24.663Z,GROUNDED,1.0,3,0,Active Reasoning
39,False,[],2026-06-25T20:00:47.449Z,INFERRED,0.9,4,1,Evidence-Grounded
40,False,[],2026-06-25T21:48:21.811Z,INFERRED,0.9,4,0,Active Reasoning
41,False,[],2026-06-26T14:07:46.939Z,INFERRED,0.9,4,1,Evidence-Grounded
42,False,[],2026-06-26T14:09:54.701Z,GROUNDED,1.0,3,0,Active Reasoning
43,False,[],2026-06-26T14:13:20.403Z,INFERRED,0.9,4,1,Evidence-Grounded
44,False,[],2026-06-26T14:16:52.427Z,MIXED,0.9,5,0,Active Reasoning
45,False,[],2026-06-26T14:18:33.905Z,GROUNDED,1.0,3,1,Evidence-Grounded
46,False,[],2026-06-26T14:19:59.820Z,MIXED,0.9,5,2,Execution/Drift
47,False,[],2026-06-26T14:22:17.694Z,ACTION,1.0,0,2,Execution/Drift
48,False,[],2026-06-26T14:24:22.784Z,CORRECTING,0.9,2,2,Execution/Drift
49,False,[],2026-06-26T14:24:40.850Z,MIXED,0.9,5,2,Execution/Drift
50,False,[],2026-06-26T14:26:55.406Z,ACTION,0.95,0,2,Execution/Drift
51,False,[],2026-06-26T14:28:44.482Z,INFERRED,0.9,4,0,Active Reasoning
52,False,[],2026-06-26T14:30:03.508Z,INFERRED,0.85,4,1,Evidence-Grounded
53,False,[],2026-06-26T14:33:15.179Z,GROUNDED,1.0,3,0,Active Reasoning
54,False,[],2026-06-26T14:33:38.318Z,INFERRED,0.9,4,1,Evidence-Grounded
55,False,[],2026-06-26T14:33:56.641Z,ACTION,0.9,0,0,Active Reasoning
56,False,[],2026-06-26T14:35:00.851Z,GROUNDED,0.9,3,1,Evidence-Grounded
57,False,[],2026-06-26T14:36:02.771Z,ACTION,0.95,0,0,Active Reasoning
58,False,[],2026-06-26T14:36:34.522Z,INFERRED,0.9,4,1,Evidence-Grounded
59,False,[],2026-06-26T14:37:13.526Z,GROUNDED,0.95,3,0,Active Reasoning
